image,class,split
midjourney-v6.1/290.png,1,test
midjourney-v6.1/31.png,1,test
midjourney-v6.1/35.png,1,test
midjourney-v6.1/328.png,1,test
midjourney-v6.1/182.png,1,test
midjourney-v6.1/465.png,1,test
midjourney-v6.1/153.png,1,test
midjourney-v6.1/277.png,1,test
midjourney-v6.1/374.png,1,test
midjourney-v6.1/315.png,1,test
midjourney-v6.1/49.png,1,test
midjourney-v6.1/187.png,1,test
midjourney-v6.1/525.png,1,test
midjourney-v6.1/484.png,1,test
midjourney-v6.1/125.png,1,test
midjourney-v6.1/250.png,1,test
midjourney-v6.1/589.png,1,test
midjourney-v6.1/548.png,1,test
midjourney-v6.1/118.png,1,test
midjourney-v6.1/349.png,1,test
midjourney-v6.1/475.png,1,test
midjourney-v6.1/426.png,1,test
midjourney-v6.1/391.png,1,test
midjourney-v6.1/12.png,1,test
midjourney-v6.1/84.png,1,test
midjourney-v6.1/445.png,1,test
midjourney-v6.1/189.png,1,test
midjourney-v6.1/262.png,1,test
midjourney-v6.1/254.png,1,test
midjourney-v6.1/336.png,1,test
midjourney-v6.1/60.png,1,test
midjourney-v6.1/337.png,1,test
midjourney-v6.1/159.png,1,test
midjourney-v6.1/563.png,1,test
midjourney-v6.1/319.png,1,test
midjourney-v6.1/233.png,1,test
midjourney-v6.1/455.png,1,test
midjourney-v6.1/326.png,1,test
midjourney-v6.1/562.png,1,test
midjourney-v6.1/236.png,1,test
midjourney-v6.1/438.png,1,test
midjourney-v6.1/375.png,1,test
midjourney-v6.1/628.png,1,test
midjourney-v6.1/415.png,1,test
midjourney-v6.1/138.png,1,test
midjourney-v6.1/470.png,1,test
midjourney-v6.1/38.png,1,test
midjourney-v6.1/134.png,1,test
midjourney-v6.1/630.png,1,test
midjourney-v6.1/469.png,1,test
midjourney-v6.1/61.png,1,test
midjourney-v6.1/538.png,1,test
midjourney-v6.1/231.png,1,test
midjourney-v6.1/312.png,1,test
midjourney-v6.1/583.png,1,test
midjourney-v6.1/221.png,1,test
midjourney-v6.1/535.png,1,test
midjourney-v6.1/67.png,1,test
midjourney-v6.1/350.png,1,test
midjourney-v6.1/313.png,1,test
midjourney-v6.1/447.png,1,test
