image,class,split
stable-diffusion-3/cfg_60/bosh3/steps_28/000004157_7.webp,1,test
stable-diffusion-3/cfg_45/dpmpp_2m/steps_28/000008284_2.webp,1,test
stable-diffusion-3/cfg_60/bosh3/steps_20/000004526_4.webp,1,test
stable-diffusion-3/cfg_30/euler/steps_28/000000396_7.webp,1,test
stable-diffusion-3/cfg_30/euler/steps_15/000008397_5.webp,1,test
stable-diffusion-3/cfg_45/dpmpp_2m/steps_20/000002092_3.webp,1,test
stable-diffusion-3/cfg_60/euler/steps_28/000009443_2.webp,1,test
stable-diffusion-3/cfg_30/bosh3/steps_15/000001329_0.webp,1,test
stable-diffusion-3/cfg_45/euler/steps_15/000002971_3.webp,1,test
stable-diffusion-3/cfg_30/euler/steps_20/000002169_2.webp,1,test
stable-diffusion-3/cfg_60/dpmpp_2m/steps_28/000008663_7.webp,1,test
stable-diffusion-3/cfg_45/euler/steps_15/000004996_7.webp,1,test
stable-diffusion-3/cfg_30/bosh3/steps_20/000003714_7.webp,1,test
stable-diffusion-3/cfg_60/bosh3/steps_28/000004913_3.webp,1,test
stable-diffusion-3/cfg_60/euler/steps_20/000000740_7.webp,1,test
stable-diffusion-3/cfg_60/dpmpp_2m/steps_20/000005279_2.webp,1,test
stable-diffusion-3/cfg_60/euler/steps_28/000009038_0.webp,1,test
stable-diffusion-3/cfg_60/bosh3/steps_28/000004346_3.webp,1,test
stable-diffusion-3/cfg_60/bosh3/steps_28/000005858_4.webp,1,test
stable-diffusion-3/cfg_30/bosh3/steps_20/000009087_1.webp,1,test
stable-diffusion-3/cfg_45/dpmpp_2m/steps_15/000006187_5.webp,1,test
stable-diffusion-3/cfg_60/bosh3/steps_20/000003176_6.webp,1,test
stable-diffusion-3/cfg_45/dpmpp_2m/steps_15/000001246_4.webp,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_28/000007149_2.webp,1,test
stable-diffusion-3/cfg_60/euler/steps_20/000003791_4.webp,1,test
stable-diffusion-3/cfg_45/euler/steps_28/000008956_4.webp,1,test
stable-diffusion-3/cfg_30/bosh3/steps_15/000001329_7.webp,1,test
stable-diffusion-3/cfg_60/dpmpp_2m/steps_20/000001796_2.webp,1,test
stable-diffusion-3/cfg_45/dpmpp_2m/steps_20/000007573_1.webp,1,test
stable-diffusion-3/cfg_60/dpmpp_2m/steps_28/000000374_5.webp,1,test
stable-diffusion-3/cfg_45/bosh3/steps_28/000005965_2.webp,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_20/000009840_0.webp,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_28/000006123_0.webp,1,test
stable-diffusion-3/cfg_30/euler/steps_28/000003474_7.webp,1,test
stable-diffusion-3/cfg_60/euler/steps_20/000006545_7.webp,1,test
stable-diffusion-3/cfg_45/dpmpp_2m/steps_15/000003460_5.webp,1,test
stable-diffusion-3/cfg_60/euler/steps_28/000003881_5.webp,1,test
stable-diffusion-3/cfg_30/bosh3/steps_15/000001437_3.webp,1,test
stable-diffusion-3/cfg_45/bosh3/steps_15/000003247_5.webp,1,test
stable-diffusion-3/cfg_30/bosh3/steps_15/000004461_7.webp,1,test
stable-diffusion-3/cfg_30/euler/steps_15/000009369_3.webp,1,test
stable-diffusion-3/cfg_60/dpmpp_2m/steps_28/000008096_2.webp,1,test
stable-diffusion-3/cfg_45/dpmpp_2m/steps_28/000003289_4.webp,1,test
stable-diffusion-3/cfg_45/euler/steps_15/000005806_0.webp,1,test
stable-diffusion-3/cfg_45/euler/steps_20/000007084_0.webp,1,test
stable-diffusion-3/cfg_60/bosh3/steps_20/000004013_7.webp,1,test
stable-diffusion-3/cfg_30/euler/steps_28/000009549_1.webp,1,test
stable-diffusion-3/cfg_60/dpmpp_2m/steps_20/000004739_4.webp,1,test
stable-diffusion-3/cfg_30/bosh3/steps_15/000000276_0.webp,1,test
stable-diffusion-3/cfg_60/bosh3/steps_28/000002645_1.webp,1,test
stable-diffusion-3/cfg_45/bosh3/steps_28/000004966_7.webp,1,test
stable-diffusion-3/cfg_30/euler/steps_15/000004050_7.webp,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_28/000008013_2.webp,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_15/000007455_1.webp,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_20/000004251_6.webp,1,test
stable-diffusion-3/cfg_60/euler/steps_15/000007049_3.webp,1,test
stable-diffusion-3/cfg_60/bosh3/steps_28/000006722_0.webp,1,test
