image,class,split
synthbuster/stable-diffusion-xl/r1d1445b6t.png,1,test
synthbuster/stable-diffusion-xl/r0200a7a6t.png,1,test
synthbuster/stable-diffusion-xl/r06743f8ft.png,1,test
synthbuster/stable-diffusion-xl/r1f3e6681t.png,1,test
synthbuster/stable-diffusion-xl/r181dd93dt.png,1,test
synthbuster/stable-diffusion-xl/r0c764979t.png,1,test
synthbuster/stable-diffusion-xl/r1565a7e7t.png,1,test
synthbuster/stable-diffusion-xl/r1a9de6e9t.png,1,test
synthbuster/stable-diffusion-xl/r0207a52ct.png,1,test
synthbuster/stable-diffusion-xl/r14289905t.png,1,test
synthbuster/stable-diffusion-xl/r031917act.png,1,test
synthbuster/stable-diffusion-xl/r18302db2t.png,1,test
synthbuster/stable-diffusion-xl/r085a5f53t.png,1,test
synthbuster/stable-diffusion-xl/r1b57dbb2t.png,1,test
synthbuster/stable-diffusion-xl/r09efa609t.png,1,test
synthbuster/stable-diffusion-xl/r07e242b7t.png,1,test
synthbuster/stable-diffusion-xl/r0c3a8ea0t.png,1,test
synthbuster/stable-diffusion-xl/r03cef811t.png,1,test
synthbuster/stable-diffusion-xl/r02897203t.png,1,test
synthbuster/stable-diffusion-xl/r1a8d7a86t.png,1,test
synthbuster/stable-diffusion-xl/r1b61c7b1t.png,1,test
synthbuster/stable-diffusion-xl/r047aa954t.png,1,test
synthbuster/stable-diffusion-xl/r08d2b4dat.png,1,test
synthbuster/stable-diffusion-xl/r09488b39t.png,1,test
synthbuster/stable-diffusion-xl/r08307e1at.png,1,test
synthbuster/stable-diffusion-xl/r191488c6t.png,1,test
synthbuster/stable-diffusion-xl/r01559391t.png,1,test
synthbuster/stable-diffusion-xl/r09670876t.png,1,test
synthbuster/stable-diffusion-xl/r0c7fcc38t.png,1,test
synthbuster/stable-diffusion-xl/r1bc3a653t.png,1,test
synthbuster/stable-diffusion-xl/r02b3a1ddt.png,1,test
synthbuster/stable-diffusion-xl/r0f8a1531t.png,1,test
synthbuster/stable-diffusion-xl/r16422663t.png,1,test
synthbuster/stable-diffusion-xl/r1ca6cc12t.png,1,test
synthbuster/stable-diffusion-xl/r0287344at.png,1,test
synthbuster/stable-diffusion-xl/r0c0d0adct.png,1,test
synthbuster/stable-diffusion-xl/r1d1cf607t.png,1,test
synthbuster/stable-diffusion-xl/r06c4bcb9t.png,1,test
