image,class,split
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00052030.JPEG,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00091934.JPEG,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00084060.JPEG,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00088897.JPEG,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00046939.JPEG,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00000817.JPEG,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00024422.JPEG,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00070404.JPEG,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00051319.JPEG,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00096299.JPEG,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00033140.JPEG,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00028538.JPEG,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00044445.JPEG,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00062175.JPEG,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00024267.JPEG,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00067255.JPEG,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00084318.JPEG,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00096177.JPEG,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00091125.JPEG,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00035775.JPEG,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00006928.JPEG,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00011287.JPEG,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00065722.JPEG,0,test
ImageNet/ILSVRC/Data/CLS-LOC/test/ILSVRC2012_test_00095466.JPEG,0,test
