image,class,split
RAISE-1k/tiff/r0b0e2ba5t.tif,0,test
RAISE-1k/tiff/r0b3979d0t.tif,0,test
RAISE-1k/tiff/r0b59fc2bt.tif,0,test
RAISE-1k/tiff/r0b6e4254t.tif,0,test
RAISE-1k/tiff/r0b735401t.tif,0,test
RAISE-1k/tiff/r0b7b1156t.tif,0,test
RAISE-1k/tiff/r0bdc7894t.tif,0,test
RAISE-1k/tiff/r0c9910e4t.tif,0,test
RAISE-1k/tiff/r0cde6159t.tif,0,test
RAISE-1k/tiff/r0ce35df8t.tif,0,test
RAISE-1k/tiff/r0d203f37t.tif,0,test
RAISE-1k/tiff/r0d56c1d7t.tif,0,test
RAISE-1k/tiff/r0d89edd8t.tif,0,test
RAISE-1k/tiff/r0e04cc91t.tif,0,test
RAISE-1k/tiff/r0e5dfc8et.tif,0,test
RAISE-1k/tiff/r0e7b407bt.tif,0,test
RAISE-1k/tiff/r0eab8214t.tif,0,test
RAISE-1k/tiff/r0eb07be3t.tif,0,test
RAISE-1k/tiff/r0ebdd2d2t.tif,0,test
RAISE-1k/tiff/r0eea5a7et.tif,0,test
RAISE-1k/tiff/r0fae3dbdt.tif,0,test
RAISE-1k/tiff/r0faffef3t.tif,0,test
RAISE-1k/tiff/r0fbb5bc1t.tif,0,test
RAISE-1k/tiff/r0fbd0c71t.tif,0,test
RAISE-1k/tiff/r0fbf62f8t.tif,0,test
RAISE-1k/tiff/r0fd69c12t.tif,0,test
RAISE-1k/tiff/r0fdfc4f0t.tif,0,test
RAISE-1k/tiff/r0fe270aet.tif,0,test
RAISE-1k/tiff/r0fe7b1c6t.tif,0,test
RAISE-1k/tiff/r0fef53bft.tif,0,test
RAISE-1k/tiff/r0ff7a848t.tif,0,test
RAISE-1k/tiff/r10134c59t.tif,0,test
RAISE-1k/tiff/r101af5b4t.tif,0,test
RAISE-1k/tiff/r101d6690t.tif,0,test
RAISE-1k/tiff/r101eab0dt.tif,0,test
RAISE-1k/tiff/r1023c21et.tif,0,test
RAISE-1k/tiff/r102b4aa4t.tif,0,test
RAISE-1k/tiff/r103a4f26t.tif,0,test
RAISE-1k/tiff/r104153eat.tif,0,test
RAISE-1k/tiff/r10940798t.tif,0,test
RAISE-1k/tiff/r10a9ca2at.tif,0,test
RAISE-1k/tiff/r10c5fc29t.tif,0,test
RAISE-1k/tiff/r10cf67d1t.tif,0,test
RAISE-1k/tiff/r10e36316t.tif,0,test
RAISE-1k/tiff/r10f888c2t.tif,0,test
RAISE-1k/tiff/r110b4219t.tif,0,test
RAISE-1k/tiff/r110cc74ct.tif,0,test
RAISE-1k/tiff/r110f894ft.tif,0,test
RAISE-1k/tiff/r113402d4t.tif,0,test
RAISE-1k/tiff/r1138e1aft.tif,0,test
RAISE-1k/tiff/r115c449dt.tif,0,test
RAISE-1k/tiff/r07ece355t.tif,0,test
RAISE-1k/tiff/r07f22efdt.tif,0,test
RAISE-1k/tiff/r08079988t.tif,0,test
RAISE-1k/tiff/r0809811bt.tif,0,test
RAISE-1k/tiff/r083ca67ct.tif,0,test
RAISE-1k/tiff/r084a4ccet.tif,0,test
RAISE-1k/tiff/r085bdbe2t.tif,0,test
RAISE-1k/tiff/r08b05c94t.tif,0,test
RAISE-1k/tiff/r08b12799t.tif,0,test
RAISE-1k/tiff/r09488b39t.tif,0,test
RAISE-1k/tiff/r09579ff2t.tif,0,test
RAISE-1k/tiff/r0965e155t.tif,0,test
RAISE-1k/tiff/r097d3563t.tif,0,test
RAISE-1k/tiff/r09c8e042t.tif,0,test
RAISE-1k/tiff/r0a4ce555t.tif,0,test
RAISE-1k/tiff/r0a8e5f8at.tif,0,test
RAISE-1k/tiff/r0a94587ft.tif,0,test
RAISE-1k/tiff/r0a966704t.tif,0,test
RAISE-1k/tiff/r0aaa70c3t.tif,0,test
RAISE-1k/tiff/r0ac70243t.tif,0,test
RAISE-1k/tiff/r0ae68527t.tif,0,test
RAISE-1k/tiff/r0b07b945t.tif,0,test
RAISE-1k/tiff/r0b0cd69et.tif,0,test
RAISE-1k/tiff/r05f3bc6ct.tif,0,test
RAISE-1k/tiff/r061433aft.tif,0,test
RAISE-1k/tiff/r061db45ft.tif,0,test
RAISE-1k/tiff/r06691aa5t.tif,0,test
RAISE-1k/tiff/r068812d7t.tif,0,test
RAISE-1k/tiff/r06888d38t.tif,0,test
RAISE-1k/tiff/r0708431at.tif,0,test
RAISE-1k/tiff/r072d955bt.tif,0,test
RAISE-1k/tiff/r0777fea4t.tif,0,test
RAISE-1k/tiff/r07cfb432t.tif,0,test
